Date,Country,Provider,Share,Source,Notes
2005-10-01,US,MSN,11.79,NetApplications,
2005-10-01,US,Yahoo,14.59,NetApplications,
2005-11-01,US,AOL,3.64,NetApplications,
2005-11-01,US,All the Web,0.04,NetApplications,
2005-11-01,US,AltaVista,0.38,NetApplications,
2005-11-01,US,Ask,1.39,NetApplications,
2005-11-01,US,Excite,0.17,NetApplications,
2005-11-01,US,Google,65.28,NetApplications,
2005-11-01,US,Lycos,0.1,NetApplications,
2005-11-01,US,MSN,11.7,NetApplications,
2005-11-01,US,Yahoo,15.2,NetApplications,
2005-12-01,US,AOL,3.6,NetApplications,
2005-12-01,US,All the Web,0.04,NetApplications,
2005-12-01,US,AltaVista,0.37,NetApplications,
2005-12-01,US,Ask,1.26,NetApplications,
2005-12-01,US,Excite,0.18,NetApplications,
2005-12-01,US,Google,66.44,NetApplications,
2005-12-01,US,Lycos,0.08,NetApplications,
2005-12-01,US,MSN,10.92,NetApplications,
2005-12-01,US,Yahoo,15.09,NetApplications,
2006-01-01,US,AOL,4.06,NetApplications,
2006-01-01,US,All the Web,0.05,NetApplications,
2006-01-01,US,AltaVista,0.36,NetApplications,
2006-01-01,US,Ask,1.36,NetApplications,
2006-01-01,US,Excite,0.16,NetApplications,
2006-01-01,US,Google,65.57,NetApplications,
2006-01-01,US,Lycos,0.08,NetApplications,
2006-01-01,US,MSN,11.28,NetApplications,
2006-01-01,US,Yahoo,15.23,NetApplications,
2006-02-01,US,AOL,3.23,NetApplications,
2006-02-01,US,All the Web,0.04,NetApplications,
2006-02-01,US,AltaVista,0.34,NetApplications,
2006-02-01,US,Ask,1.17,NetApplications,
2006-02-01,US,Excite,0.15,NetApplications,
2006-02-01,US,Google,67.13,NetApplications,
2006-02-01,US,Lycos,0.08,NetApplications,
2006-02-01,US,MSN,10.98,NetApplications,
2006-02-01,US,Yahoo,15.06,NetApplications,
2006-03-01,US,AOL,2.19,NetApplications,
2006-03-01,US,All the Web,0.04,NetApplications,
2006-03-01,US,AltaVista,0.33,NetApplications,
2006-03-01,US,Ask,1.23,NetApplications,
2006-03-01,US,Excite,0.14,NetApplications,
2006-03-01,US,Google,68.69,NetApplications,
2006-03-01,US,Lycos,0.06,NetApplications,
2006-03-01,US,MSN,10.57,NetApplications,
2006-03-01,US,Yahoo,15.05,NetApplications,
2006-04-01,US,AOL,2.01,NetApplications,
2006-04-01,US,All the Web,0.04,NetApplications,
2006-04-01,US,AltaVista,0.31,NetApplications,
